province,district,name,number,administrative_pst,locality,area,classification,type,level,latitude,longitude
CABO DELGADO,CHIURE,CS Chiure,172,CHIURE,VILA DE CHIURE,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.3825,39.7844
CABO DELGADO,CHIURE,CS Chiure-Velho,173,CHIURE VELHO,MICOLENE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.3728,39.9681
CABO DELGADO,CHIURE,CS Bilibiza,174,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.6175,39.4264
CABO DELGADO,CHIURE,PS Katapua,175,KATAPUA,MECULANE,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-13.3975,39.4317
CABO DELGADO,CHIURE,CS Mazeze,176,MAZEZE,MAZEZE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.3594,40.193600000000004
CABO DELGADO,CHIURE,CS Ocua,177,OCUA,OCUA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.6464,39.7933
CABO DELGADO,CHIURE,PS Nmala,178,CHIURE VELHO,MUGIPALA,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-13.4839,39.915
CABO DELGADO,CHIURE,CS Namogelia,179,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.56378,40.28497
CABO DELGADO,CHIURE,PS Muege,180,MAZEZE,MUROCUE,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-13.3294,40.1008
CABO DELGADO,CHIURE,CS Nacoto,181,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.34922,39.73712
CABO DELGADO,IBO,CS Ibo,182,IBO,VILA DE IBO,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.3436,40.5847
CABO DELGADO,IBO,CS Matemo,183,IBO,MATEMO,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.2045,40.6049
CABO DELGADO,IBO,CS Quirimba,184,QUIRRIMBA,QUIRRIMBA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.403,40.574
CABO DELGADO,MACOMIA,HD Macomia,185,MACOMIA,VILA DE MACOMIA,URBANA,Hospital Distrital,Hospital Distrital,Nivel Secondario,-12.2461,40.1256
CABO DELGADO,MACOMIA,CS Chai,186,CHAI,CHAI,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.9311,40.1075
CABO DELGADO,MACOMIA,CS Mucojo,187,MUCOJO,MUCOJO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.0683,40.4778
CABO DELGADO,MACOMIA,CS Quiterajo,188,QUITERAJO,QUITERAJO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.7514,40.4314
CABO DELGADO,MACOMIA,CS Nguida,189,MACOMIA,NGUIDA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.1427,39.9719
CABO DELGADO,MACOMIA,CS Naunde,190,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.1667,40.475
CABO DELGADO,MACOMIA,CS Piquewe,191,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.8831,40.4711
CABO DELGADO,MECUFI,CS Micufe,192,MEKUFI,MEKUFI SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.2908,40.5556
CABO DELGADO,MECUFI,CS Murebue,193,MURREBUE,MURREBUE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.1302,40.5503
CABO DELGADO,MECUFI,CS Natuco,194,MEKUFI,SAMBANE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.4164,40.5267
CABO DELGADO,MELUCO,CS Muaguide,195,MUAGUIDE,MITAMBO,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.4589,40.0292
CABO DELGADO,MELUCO,CS Meluco,196,MELUCO,MELUCO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.5403,39.6408
CABO DELGADO,MELUCO,CS Minhanha,197,MELUCO,MINHANHA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.2775,39.6644
CABO DELGADO,MELUCO,CS Mbada,198,MUAGUIDE,IBA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.3964,40.1075
CABO DELGADO,MELUCO,CS Ravia (Expansao),199,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.5833,39.3333
CABO DELGADO,MOCIMBOA DA PRAIA,HR Mocimboa Praia,200,MOCIMBOA DA PRAIA,VILA DE MOCIMBOA DA PRAIA,URBANA,Hospital Rural,Hospital Rural,Nivel Secondario,-11.3494,40.3586
CABO DELGADO,MOCIMBOA DA PRAIA,CS Quelimane,201,MOCIMBOA DA PRAIA,QUELIMANE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.2308,40.2728
CABO DELGADO,MOCIMBOA DA PRAIA,CS Mbau,202,MBAU,MBAU SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.6269,40.1778
CABO DELGADO,MOCIMBOA DA PRAIA,CS Diaca,203,DIACA,DIACA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.5358,39.9367
CABO DELGADO,MOCIMBOA DA PRAIA,CS Mangoma,204,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.4,40.2333
CABO DELGADO,MONTEPUEZ,HR Montepuez,205,CIDADE DE MONTEPUEZ,CIDADE DE MONTEPUEZ,URBANA,Hospital Rural,Hospital Rural,Nivel Secondario,-13.1272,38.9986
CABO DELGADO,MONTEPUEZ,CS Montepuez,206,CIDADE DE MONTEPUEZ,CIDADE DE MONTEPUEZ,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.1281,38.9989
CABO DELGADO,MONTEPUEZ,CS Mirate,207,MIRATE,MIRATE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.9681,38.8011
CABO DELGADO,MONTEPUEZ,PS Linde,208,MAPUPULO,MASSINGIR,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-13.304,38.9211
CABO DELGADO,MONTEPUEZ,PS Nairoto,209,NAIROTO,NAIROTO SEDE,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-12.5511,39.0019
CABO DELGADO,MONTEPUEZ,CS Namanhumbire,210,NAMANHUMBIR,NAMANHUMBIR SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.0367,39.2811
CABO DELGADO,MONTEPUEZ,CS Namueto,211,CIDADE DE MONTEPUEZ,CIDADE DE MONTEPUEZ,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.1311,39.0356
CABO DELGADO,MONTEPUEZ,CS Nropa,212,MAPUPULO,MAPUPULO SEDE,RURAL,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-13.1886,38.7431
CABO DELGADO,MONTEPUEZ,CS Napupulo,213,MAPUPULO,MAPUPULO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.2233,38.8808
CABO DELGADO,MONTEPUEZ,CS Urbano de Nihula,214,NA,NA,NA,NA,NA,NA,-13.1166667,39
CABO DELGADO,MUEDA,HR Mueda,215,MUEDA,VILA DE MUEDA,URBANA,Hospital Rural,Hospital Rural,Nivel Secondario,-11.6628,39.5536
CABO DELGADO,MUEDA,CS Chilinde,216,NGAPA,NATSENGE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.2958,39.4422
CABO DELGADO,MUEDA,CS Mpeme,217,MUEDA,MPEME,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.6003,39.6842
CABO DELGADO,MUEDA,CS Chapa,218,CHAPA,CHAPA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.8225,39.4167
CABO DELGADO,MUEDA,CS Namatil,219,NGAPA,NATSENGE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.1153,39.4739
CABO DELGADO,MUEDA,CS Negomano,220,NEGOMANO,NEGOMANO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.4253,38.4897
CABO DELGADO,MUEDA,CS Ngapa,221,NGAPA,NGAPA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.3058,39.3103
CABO DELGADO,MUEDA,CS Imbuo,222,IMBUO,IMBUO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.53,39.7186
CABO DELGADO,MUIDUMBE,CS Muidumbe,223,MUIDUMBE,MUIDUMBE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.8236,39.8122
CABO DELGADO,MUIDUMBE,CS Chitunda,224,CHITUNDA,CHITUNDA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.7053,39.9856
CABO DELGADO,MUIDUMBE,CS Miangalewa,NA,NA,NA,NA,NA,NA,NA,-11.83495983,39.836519271
CABO DELGADO,MUIDUMBE,CS Muatide,225,MUIDUMBE,MUATIDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.76,39.8053
CABO DELGADO,MUIDUMBE,CS Miteda,226,MITEDA,MITEDA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.7614,39.7356
CABO DELGADO,MUIDUMBE,PS Nguri,227,CHITUNDA,MIENGUELIUA,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-11.8131,40.1075
CABO DELGADO,MUIDUMBE,CS Namacande,228,MUIDUMBE,NAMACANDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.7794,39.9006
CABO DELGADO,NAMUNO,CS Namuno,229,NAMUNO,MILIPONE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.6186,38.8161
CABO DELGADO,NAMUNO,PS Hucula,230,HUCULA,MAVO,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-13.83,39.1228
CABO DELGADO,NAMUNO,CS Machoca,231,MACHOCA,PHONE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.9653,38.8056
CABO DELGADO,NAMUNO,CS Meloco,232,MELOCO,MELOCO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.4744,39.1742
CABO DELGADO,NAMUNO,CS Nanrapa,233,NAMUNO,MILIPONE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.6881,38.7753
CABO DELGADO,NAMUNO,CS Ncumpe,234,NCUMPE,NCUMPE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.7094,38.6006
CABO DELGADO,NAMUNO,CS Papai,235,PAPAI,PAPAI,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-14.0364,38.6767
CABO DELGADO,NANGADE,CS Nangade,236,NANGADE,NANGADE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.0614,39.6697
CABO DELGADO,NANGADE,CS Ntamba,237,MTAMBA,NAMBEDO,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.4267,39.7414
CABO DELGADO,NANGADE,CS Ntoli,238,NANGADE,ITANDA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.3864,39.595
CABO DELGADO,NANGADE,CS Nkonga,239,NA,NA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-11.3,39.9125
CABO DELGADO,NANGADE,CS Muhia (Expansao,240,NA,NA,NA,NA,NA,NA,NA,NA
CABO DELGADO,PALMA,CS Palma,241,PALMA,PALMA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-10.7808,40.4731
CABO DELGADO,PALMA,CS Mute,242,OLUMBI,MUTE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-10.965,40.3558
CABO DELGADO,PALMA,CS Olumbe,243,OLUMBI,OLUMBI,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-10.9903,40.4792
CABO DELGADO,PALMA,PS Maganja,244,PALMA,MUTE,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-10.8569,40.5894
CABO DELGADO,PALMA,CS Pundanhar,245,PUNDANHAR,NHICA DO ROVUMA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-10.8908,40.0575
CABO DELGADO,PALMA,CS Quionga,246,QUIONGA,QUIRINDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-10.5928,40.5078
CABO DELGADO,PEMBA-METUGE,CS Pemba Metuge,247,METUGE,METUGE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.9961,40.4186
CABO DELGADO,PEMBA-METUGE,CS Mieze,248,MIEZE,MIEZE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.1075,40.4539
CABO DELGADO,PEMBA-METUGE,PS Nacuta,249,METUGE,NACUTA,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-12.9503,40.3197
CABO DELGADO,PEMBA-METUGE,CS Nanlia,250,METUGE,NANLIA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.0592,40.2849
CABO DELGADO,PEMBA-METUGE,CS Ntessa (Expansao),251,NA,NA,NA,NA,NA,NA,-12.979,40.394
CABO DELGADO,QUISSANGA,CS Quissanga,252,QUISSANGA,QUISSANGA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.4322,40.4833
CABO DELGADO,QUISSANGA,CS Cagembe,253,QUISSANGA,CAGEMBE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.38,40.2642
CABO DELGADO,QUISSANGA,CS Mahate,254,BILIBIZA,BILIBIZA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.5236,40.2553
CABO DELGADO,QUISSANGA,PS Namaluco,255,QUISSANGA,NAMALUCO,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-12.3442,40.3139
CABO DELGADO,QUISSANGA,CS Bilibiza,256,BILIBIZA,BILIBIZA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.5639,40.2853
CABO DELGADO,QUISSANGA,CS Tororo,257,BILIBIZA,TORORO,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.5958,40.1522
CABO DELGADO,QUISSANGA,CS Nacoba (Expansao),258,NA,NA,NA,NA,NA,NA,-12.4357419,40.4961776
GAZA,CIDADE DE XAI-XAI,HP Xai-Xai,1161,CIDADE DE XAI XAI,CIDADE DE XAI XAI,URBANA,Hospital Provincial,Hospital Provincial,Nivel Terciario,-25.0683,33.6583
GAZA,CIDADE DE XAI-XAI,CS Ngoabi,1162,CIDADE DE XAI XAI,INHAMISSA,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-25.0469,33.6917
GAZA,CIDADE DE XAI-XAI,CS Xai-Xai,1163,CIDADE DE XAI XAI,CIDADE DE XAI XAI,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-25.053226,33.643997
GAZA,CIDADE DE XAI-XAI,CS Patrice Lumumba,1164,CIDADE DE XAI XAI,TAVENE,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-25.0819,33.6664
GAZA,CIDADE DE XAI-XAI,CS Praia,1165,CIDADE DE XAI XAI,DA PRAIA,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-25.1156,33.7294
GAZA,CIDADE DE XAI-XAI,PS Marien Nguabi B,1166,CIDADE DE XAI XAI,INHAMISSA,URBANA,Posto de Saude,Posto de Saude,Nivel Primario,-25.0597,33.7089
GAZA,CIDADE DE XAI-XAI,PS Berach,1167,NA,NA,NA,NA,NA,NA,NA,NA
GAZA,CIDADE DE XAI-XAI,PS Unidade Especial,1168,NA,NA,NA,NA,NA,NA,NA,NA
GAZA,BILENE,CS Macia,1169,CHISSANO,CHISSANO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-25.0297,33.3628
GAZA,BILENE,CS Praia do Bilene,1170,PRAIA DE BILENE,VILA DA PRAIA DE BILENE,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-25.2817,33.2519
GAZA,BILENE,CS Mamonho,1171,MESSANO,MANONHO,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.9533,33.0644
GAZA,BILENE,PS Chissano,1172,CHISSANO,CHISSANO SEDE,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-24.9333,33.3628
GAZA,BILENE,CS Incaia,1173,NA,NA,NA,NA,NA,NA,-25.0264891699,33.1749291792
GAZA,BILENE,CS Licilo,1174,CHISSANO,LICILO,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.8608,33.4117
GAZA,BILENE,CS Mazivila,1175,MAZIVILA,MAZIVILA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.8711,33.12
GAZA,BILENE,CS Messano,1176,MESSANO,MESSANO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-25.0092,32.9847
GAZA,BILENE,PS Olombe,1177,MAZIVILA,OLOMBE,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-24.8606,33.2836
GAZA,BILENE,CS Tlhuane,1178,MACUANE,TUANE ORIENTAL,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-25.0811,33.2578
GAZA,BILENE,CS Mangol,1179,MACUENE,CHICHANGO,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-25.1219,33.0894
GAZA,CHIBUTO,HR Chibuto,1180,CIDADE DE CHIBUTO,CIDADE DE CHIBUTO,URBANA,Hospital Rural,Hospital Rural,Nivel Secondario,-24.6894,33.5328
GAZA,CHIBUTO,CS Cidade Chibuto,1181,CIDADE DE CHIBUTO,CIDADE DE CHIBUTO,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-24.6906,33.5406
GAZA,CHIBUTO,CS Alto Changane,1182,ALTO CHANGANE,ALTO CHANGANE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.3097,33.63
GAZA,CHIBUTO,CS Chipadja,1183,GODIGE,CHIPADJA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.5731,33.7569
GAZA,CHIBUTO,CS Malehice,1184,MALEHICE,MALEHICE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.7522,33.67
GAZA,CHIBUTO,CS Muxaxane,1185,MALEHICE,MUXAXANE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.7042,33.7042
GAZA,CHIBUTO,CS Maivene,1186,MALEHICE,MAIVENE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.68,33.7872
GAZA,CHIBUTO,CS Chaimite,1187,CHAIMITE,CHAIMITE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Desconhecido,-24.6625,33.3458
GAZA,CHIBUTO,CS Chimundo,1188,CIDADE DE DE CHIBUTO,CHIKHAKHATE,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.7017,33.5739
GAZA,CHIBUTO,CS Nhavaquene,1189,MALEHICE,MBAMBANE,RURAL,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-24.8175,33.7662
GAZA,CHIBUTO,CS Changanine,1190,CHANGANINE,CHANGANINE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-24.1128,33.7797
GAZA,CHIBUTO,CS Maqueze,1191,ALTO CHANGANE,MAQUEZE,RURAL,Centro de Saude,Centro de Saude Rural,Desconhecido,-24.2889,33.5661
GAZA,CHIBUTO,CS Muboi,1192,GODIDE,GODIDE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Desconhecido,-24.5281,33.675
GAZA,CHICUALACUALA,PS Chidulo,1193,MAPAI,CHIDULO,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-22.2653,32.5283
GAZA,CHICUALACUALA,PS Mahatlane,1194,VILA EDUARDO MONDLANE,CHITANGA,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-21.9694,32.1147
GAZA,CHICUALACUALA,CS Mapai,1195,MAPAI,16 DE JUNHO,RURAL,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-22.7322,32.0608
GAZA,CHICUALACUALA,PS Mapai-Ngala,1196,MAPAI,MAPAI RIO,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-22.8467,31.9656
GAZA,CHICUALACUALA,CS Mepaze,1197,MAPAI,MPUZI,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-23.0672,32.2219
GAZA,CHICUALACUALA,PS Pafuri,1198,PAFURI,MBUZI,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-22.4572,31.33
GAZA,CHICUALACUALA,CS Litlatla,1199,VILA EDUARDO MONDLANE,VILA EDUARDO MONDLANE,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-22.2031,31.6383
GAZA,CHICUALACUALA,PS Ndombe,1200,MAPAI,MAPAI RIO,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-22.6869,31.8442
GAZA,CHICUALACUALA,CS Chicualacuala,1201,VILA EDUARDO MONDLANE,VILA EDUARDO MONDLANE,URBANA,Centro de Saude,Centro de Saude Rural,Nivel Primario,-22.0775,31.6783
GAZA,CHICUALACUALA,PS Mafacitela,1202,MAPAI,MAFACITELA,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-22.5461,32.4631
GAZA,CHIGUBO,CS Chigubo,1203,CHIGUBO,ZINHANE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-22.8322,33.5433
GAZA,CHIGUBO,CS Zinhane,1204,CHIGUBO,ZINHANE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-22.355,33.0761
GAZA,CHIGUBO,CS Ndindiza,1205,NDINDIZA,NHAVANE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-23.4575,33.4253
GAZA,CHIGUBO,CS Machaila,1206,CHIGUBO,MACHAILA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-22.2547,32.9147
GAZA,CHIGUBO,CS Saúte,1207,NDINDIZA,NHANALE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-23.5167,33.5067
GAZA,CHIGUBO,CS de Cubo,1208,NA,NA,NA,NA,NA,NA,-22.9124568394,33.2492405643
GAZA,CHIGUBO,CS Nhanale,1209,NA,NA,NA,NA,NA,NA,-23.5167,33.5067
GAZA,CHOKWE,HR Chokwe,1210,CIDADE DE CHOKWE,CIDADE DE CHOKWE,URBANA,Hospital Rural,Hospital Rural,Nivel Secondario,-24.527439,33.005138
GAZA,CHOKWE,CS Barragem ,1211,NA,NA,NA,NA,NA,NA,-24.4286,32.8425
GAZA,CHOKWE,CS Cidade Chokwe,1212,CIDADE DE CHOKWE,CIDADE DE CHOKWE,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-24.5668,32.9186
GAZA,CHOKWE,CS Nhangunho,1213,LIONDE,CONHANE,RURAL,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-24.739167,33.126111
GAZA,CHOKWE,PS Muianga,1214,XILEMBENE,XILEMBENE SEDE,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-24.6369,33.1778
